Date,County,Sales (Dollars)
2014-01-27,adair,9003.260000000002
2014-01-27,audubon,4264.91
2014-01-27,benton,5433.900000000001
2014-01-27,black hawk,154540.0200000001
2014-01-27,buchanan,27982.810000000005
2014-01-27,butler,1603.3200000000002
2014-01-27,cass,24377.80999999998
2014-01-27,cerro gordo,116049.22000000012
2014-01-27,clayton,7650.750000000001
2014-01-27,dallas,61433.88000000002
2014-01-27,delaware,20239.760000000002
2014-01-27,des moines,59370.369999999995
2014-01-27,fayette,1025.5100000000002
2014-01-27,franklin,7189.0699999999915
2014-01-27,grundy,2464.6000000000004
2014-01-27,guthrie,3834.6400000000003
2014-01-27,hardin,26061.600000000002
2014-01-27,harrison,5395.000000000002
2014-01-27,henry,27273.65
2014-01-27,iowa,8985.869999999999
2014-01-27,jackson,31422.849999999984
2014-01-27,jasper,15372.760000000007
2014-01-27,jefferson,21556.92000000001
2014-01-27,johnson,74086.42
2014-01-27,jones,13825.319999999998
2014-01-27,keokuk,5252.319999999998
2014-01-27,lee,65195.07000000006
2014-01-27,linn,195131.99000000017
2014-01-27,louisa,4640.759999999998
2014-01-27,muscatine,55205.719999999965
2014-01-27,polk,256263.29000000044
2014-01-27,pottawattamie,317744.60999999975
2014-01-27,scott,90957.45999999988
2014-01-27,shelby,13865.650000000003
2014-01-27,story,1045.1399999999999
2014-01-27,van buren,1661.47
2014-01-27,wapello,2354.94
2014-01-27,washington,32621.98000000001
2014-01-27,webster,1149.75
2014-01-27,winnebago,1483.52
2014-01-27,worth,4428.240000000002
2014-01-28,adams,1454.8500000000001
2014-01-28,benton,3472.6399999999994
2014-01-28,bremer,36136.8
2014-01-28,butler,983.64
2014-01-28,cherokee,8514.420000000002
2014-01-28,chickasaw,5573.749999999997
2014-01-28,clay,31064.679999999975
2014-01-28,clayton,1125.5400000000002
2014-01-28,dallas,26516.359999999993
2014-01-28,dickinson,62744.80000000001
2014-01-28,emmet,10822.730000000001
2014-01-28,floyd,19722.0
2014-01-28,hamilton,9722.96
2014-01-28,hardin,17386.99999999999
2014-01-28,howard,20574.27999999999
2014-01-28,humboldt,10879.490000000002
2014-01-28,iowa,928.5699999999999
2014-01-28,jasper,24743.999999999978
2014-01-28,kossuth,2465.4
2014-01-28,linn,34222.11000000004
2014-01-28,lyon,17783.699999999986
2014-01-28,madison,4422.6900000000005
2014-01-28,marshall,74474.66000000008
2014-01-28,mills,5255.75
2014-01-28,mitchell,7224.269999999998
2014-01-28,montgomery,9458.579999999996
2014-01-28,o'brien,20013.789999999994
2014-01-28,osceola,5257.689999999999
2014-01-28,page,29669.77000000001
2014-01-28,palo alto,12283.029999999995
2014-01-28,plymouth,39315.75000000001
2014-01-28,pocahontas,11137.300000000005
2014-01-28,polk,319034.6500000002
2014-01-28,pottawattamie,3799.87
2014-01-28,poweshiek,31964.639999999996
2014-01-28,ringgold,1585.2299999999998
2014-01-28,sioux,47166.03999999999
2014-01-28,story,23429.19999999999
2014-01-28,tama,9013.96
2014-01-28,taylor,1169.1100000000001
2014-01-28,union,26429.000000000015
2014-01-28,webster,50625.779999999984
2014-01-28,wright,10754.6
2014-01-29,allamakee,10311.170000000002
2014-01-29,appanoose,25166.819999999992
2014-01-29,benton,1399.2199999999998
2014-01-29,black hawk,25857.06
2014-01-29,boone,22667.589999999997
2014-01-29,bremer,5460.649999999999
2014-01-29,buchanan,4949.499999999998
2014-01-29,buena vista,26428.45
2014-01-29,calhoun,6140.88
2014-01-29,cedar,2438.7
2014-01-29,clay,4047.0
2014-01-29,crawford,10204.060000000001
2014-01-29,davis,1851.3799999999994
2014-01-29,dubuque,205285.05000000008
2014-01-29,fayette,15848.489999999993
2014-01-29,hamilton,9472.439999999999
2014-01-29,hancock,3742.439999999999
2014-01-29,ida,4959.950000000001
2014-01-29,iowa,7287.839999999997
2014-01-29,jasper,1115.6899999999998
2014-01-29,johnson,41055.780000000035
2014-01-29,jones,9702.839999999997
2014-01-29,kossuth,26239.38
2014-01-29,linn,65707.76000000002
2014-01-29,mahaska,20547.299999999992
2014-01-29,marion,55510.240000000005
2014-01-29,monona,8119.259999999992
2014-01-29,monroe,7044.280000000001
2014-01-29,plymouth,1580.19
2014-01-29,polk,140162.49999999988
2014-01-29,poweshiek,2002.2500000000002
2014-01-29,sac,7878.560000000001
2014-01-29,scott,262022.94000000035
2014-01-29,story,218075.6300000005
2014-01-29,wapello,56044.40000000006
2014-01-29,webster,2855.0100000000007
2014-01-29,winnebago,10946.490000000003
2014-01-29,winneshiek,29361.30999999999
2014-01-29,woodbury,244609.51000000024
2014-01-30,black hawk,154303.93000000002
2014-01-30,boone,4087.3599999999997
2014-01-30,carroll,26597.23999999999
2014-01-30,cedar,12536.159999999998
2014-01-30,clarke,18292.139999999992
2014-01-30,clinton,56194.46000000003
2014-01-30,crawford,13979.289999999995
2014-01-30,dallas,7346.06
2014-01-30,decatur,1369.7400000000002
2014-01-30,greene,3789.49
2014-01-30,hardin,203.35
2014-01-30,henry,1211.0
2014-01-30,iowa,9609.180000000002
2014-01-30,johnson,234838.72000000044
2014-01-30,jones,7361.349999999998
2014-01-30,linn,123913.46000000017
2014-01-30,lucas,6816.880000000002
2014-01-30,marion,2213.83
2014-01-30,polk,351558.16000000085
2014-01-30,story,1211.8
2014-01-30,warren,30851.929999999997
2014-01-30,wayne,1939.5
2014-01-31,johnson,7550.040000000003
2014-01-31,polk,1713.6100000000004
2014-02-03,adair,3387.799999999999
2014-02-03,audubon,3497.7299999999996
2014-02-03,benton,5845.620000000001
2014-02-03,black hawk,90174.2500000001
2014-02-03,buchanan,17937.249999999993
2014-02-03,butler,3187.2599999999993
2014-02-03,cass,16636.889999999992
2014-02-03,cedar,918.84
2014-02-03,cerro gordo,100251.47000000015
2014-02-03,clayton,10534.85
2014-02-03,dallas,44095.79999999999
2014-02-03,delaware,22794.57
2014-02-03,des moines,55721.77000000001
2014-02-03,dubuque,1611.1200000000001
2014-02-03,franklin,5576.159999999999
2014-02-03,grundy,3761.989999999999
2014-02-03,guthrie,3637.6999999999994
2014-02-03,hardin,27415.08000000002
2014-02-03,harrison,7336.249999999997
2014-02-03,henry,12701.549999999992
2014-02-03,iowa,5691.940000000002
2014-02-03,jackson,8658.809999999998
2014-02-03,jasper,13444.479999999992
2014-02-03,jefferson,14727.46
2014-02-03,johnson,98225.15999999999
2014-02-03,jones,3167.7
2014-02-03,keokuk,1528.3800000000003
2014-02-03,lee,51388.850000000006
2014-02-03,linn,192383.9800000005
2014-02-03,muscatine,51305.84000000004
2014-02-03,polk,284705.7800000007
2014-02-03,pottawattamie,149703.88000000018
2014-02-03,scott,91927.26999999995
2014-02-03,shelby,16110.159999999998
2014-02-03,story,1453.9800000000002
2014-02-03,van buren,2835.440000000001
2014-02-03,wapello,1045.6700000000003
2014-02-03,washington,22464.14000000001
2014-02-03,winnebago,1400.7400000000002
2014-02-03,worth,5505.669999999999
2014-02-04,adams,1282.2299999999998
2014-02-04,benton,4065.430000000001
2014-02-04,bremer,27197.82
2014-02-04,butler,6091.839999999999
2014-02-04,cherokee,18715.03999999999
2014-02-04,chickasaw,7975.039999999998
2014-02-04,clay,18887.50999999999
2014-02-04,clayton,1240.0799999999997
2014-02-04,dallas,34920.53999999997
2014-02-04,dickinson,40204.07
2014-02-04,emmet,6403.37
2014-02-04,floyd,19940.64999999999
2014-02-04,hamilton,7978.669999999996
2014-02-04,hardin,4164.16
2014-02-04,howard,18242.090000000004
2014-02-04,humboldt,6652.330000000001
2014-02-04,jasper,12534.470000000003
2014-02-04,kossuth,1515.03
2014-02-04,linn,65976.73999999992
2014-02-04,lyon,12487.009999999993
2014-02-04,madison,12167.099999999997
2014-02-04,marshall,45589.69000000002
2014-02-04,mills,7647.58
2014-02-04,mitchell,8586.71
2014-02-04,montgomery,11750.319999999996
2014-02-04,o'brien,20928.509999999987
2014-02-04,osceola,3424.0700000000006
2014-02-04,page,15119.769999999999
2014-02-04,palo alto,6812.649999999998
2014-02-04,plymouth,19973.179999999997
2014-02-04,pocahontas,4421.280000000001
2014-02-04,polk,285149.74000000034
2014-02-04,pottawattamie,3328.8599999999997
2014-02-04,poweshiek,18847.09999999999
2014-02-04,ringgold,3238.619999999999
2014-02-04,sioux,16753.499999999996
2014-02-04,story,11915.330000000005
2014-02-04,tama,8651.459999999994
2014-02-04,taylor,1375.68
2014-02-04,union,11533.969999999992
2014-02-04,webster,54903.959999999955
2014-02-04,wright,10073.95
2014-02-05,allamakee,17698.59999999999
2014-02-05,appanoose,7945.659999999996
2014-02-05,benton,2952.9099999999994
2014-02-05,black hawk,23797.950000000008
2014-02-05,boone,21693.19000000001
2014-02-05,bremer,5200.349999999998
2014-02-05,buchanan,6861.990000000002
2014-02-05,buena vista,24617.66999999999
2014-02-05,calhoun,4575.01
2014-02-05,cedar,2560.9899999999993
2014-02-05,crawford,1837.7099999999998
2014-02-05,davis,1644.81
2014-02-05,dubuque,168025.32999999996
2014-02-05,fayette,16356.449999999993
2014-02-05,hamilton,2767.7699999999995
2014-02-05,hancock,5418.080000000001
2014-02-05,ida,5443.160000000001
2014-02-05,iowa,15158.430000000002
2014-02-05,johnson,28797.15000000001
2014-02-05,jones,8798.609999999997
2014-02-05,kossuth,40286.86
2014-02-05,linn,52902.05000000002
2014-02-05,mahaska,15291.289999999985
2014-02-05,marion,26769.920000000013
2014-02-05,monona,10557.900000000003
2014-02-05,monroe,4797.98
2014-02-05,plymouth,1040.98
2014-02-05,polk,100765.02999999997
2014-02-05,poweshiek,2626.17
2014-02-05,sac,6447.3499999999985
2014-02-05,scott,302700.90000000055
2014-02-05,story,187769.61000000045
2014-02-05,wapello,37890.42000000001
2014-02-05,webster,3515.169999999999
2014-02-05,winnebago,8698.2
2014-02-05,winneshiek,14061.879999999997
2014-02-05,woodbury,189788.05000000022
2014-02-06,black hawk,159073.47000000015
2014-02-06,boone,16724.690000000002
2014-02-06,carroll,33563.109999999986
2014-02-06,cedar,5325.82
2014-02-06,clarke,14245.049999999994
2014-02-06,clinton,56462.24999999999
2014-02-06,crawford,27563.439999999995
2014-02-06,dallas,9350.810000000001
2014-02-06,decatur,5579.1900000000005
2014-02-06,greene,5936.509999999996
2014-02-06,iowa,9657.499999999998
2014-02-06,jackson,3129.6500000000005
2014-02-06,johnson,182386.59000000035
2014-02-06,jones,10384.609999999997
2014-02-06,linn,108101.18000000018
2014-02-06,lucas,4814.509999999999
2014-02-06,madison,1400.2199999999998
2014-02-06,marion,2294.5000000000005
2014-02-06,marshall,889.2
2014-02-06,polk,471389.2899999999
2014-02-06,poweshiek,1685.96
2014-02-06,warren,50910.03
2014-02-10,adair,8559.06
2014-02-10,audubon,1192.49
2014-02-10,benton,3489.66
