Date,County,Volume Sold (Liters)
2014-06-01,delaware,6649.57
2014-06-01,des moines,23178.919999999987
2014-06-01,dickinson,41905.61999999999
2014-06-01,dubuque,45853.65999999998
2014-06-01,emmet,4144.219999999999
2014-06-01,fayette,6292.24
2014-06-01,floyd,8716.880000000001
2014-06-01,franklin,3787.72
2014-06-01,greene,2893.1000000000004
2014-06-01,grundy,2388.1799999999994
2014-06-01,guthrie,2993.0599999999995
2014-06-01,hamilton,8114.499999999999
2014-06-01,hancock,1919.98
2014-06-01,hardin,12640.020000000002
2014-06-01,harrison,3456.259999999999
2014-06-01,henry,6003.629999999999
2014-06-01,howard,7082.3
2014-06-01,humboldt,4441.529999999999
2014-06-01,ida,2265.52
2014-06-01,iowa,9751.39
2014-06-01,jackson,8762.840000000002
2014-06-01,jasper,13058.529999999997
2014-06-01,jefferson,6346.389999999998
2014-06-01,johnson,88300.7900000001
2014-06-01,jones,7539.280000000001
2014-06-01,keokuk,1441.5
2014-06-01,kossuth,10381.680000000002
2014-06-01,lee,28479.129999999994
2014-06-01,linn,155168.2900000004
2014-06-01,louisa,1645.7399999999996
2014-06-01,lucas,2339.13
2014-06-01,lyon,4893.579999999999
2014-06-01,madison,4705.959999999999
2014-06-01,mahaska,4654.559999999999
2014-06-01,marion,10973.27000000001
2014-06-01,marshall,20025.95
2014-06-01,mills,3340.6000000000004
2014-06-01,mitchell,3651.4400000000005
2014-06-01,monona,2896.539999999999
2014-06-01,monroe,1394.83
2014-06-01,montgomery,4631.05
2014-06-01,muscatine,22004.010000000017
2014-06-01,o'brien,11494.990000000014
2014-06-01,osceola,2124.17
2014-06-01,page,8404.070000000003
2014-06-01,palo alto,4463.149999999999
2014-06-01,plymouth,11878.770000000013
2014-06-01,pocahontas,2903.37
2014-06-01,polk,357814.8599999984
2014-06-01,pottawattamie,64516.849999999904
2014-06-01,poweshiek,8948.42
2014-06-01,ringgold,1178.25
2014-06-01,sac,3891.8199999999983
2014-06-01,scott,120023.84000000081
2014-06-01,shelby,5877.799999999998
2014-06-01,sioux,9958.030000000002
2014-06-01,story,36949.079999999936
2014-06-01,tama,4720.099999999999
2014-06-01,taylor,722.7
2014-06-01,union,6343.549999999999
2014-06-01,van buren,1411.2299999999998
2014-06-01,wapello,12740.200000000008
2014-06-01,warren,11078.830000000007
2014-06-01,washington,8674.98
2014-06-01,wayne,590.87
2014-06-01,webster,19530.689999999984
2014-06-01,winnebago,3642.9400000000005
2014-06-01,winneshiek,7193.809999999998
2014-06-01,woodbury,51559.26999999994
2014-06-01,worth,2179.099999999999
2014-06-01,wright,4252.120000000001
2014-07-01,adair,2510.45
2014-07-01,adams,439.69
2014-07-01,allamakee,6515.4800000000005
2014-07-01,appanoose,6276.860000000002
2014-07-01,audubon,1327.87
2014-07-01,benton,4812.210000000001
2014-07-01,black hawk,90803.16000000073
2014-07-01,boone,11159.189999999997
2014-07-01,bremer,11068.890000000001
2014-07-01,buchanan,9988.370000000004
2014-07-01,buena vista,10474.34
2014-07-01,butler,2102.7
2014-07-01,calhoun,3109.7099999999996
2014-07-01,carroll,17594.77999999998
2014-07-01,cass,6153.599999999998
2014-07-01,cedar,4196.109999999999
2014-07-01,cerro gordo,41012.449999999975
2014-07-01,cherokee,4498.959999999999
2014-07-01,chickasaw,2231.82
2014-07-01,clarke,3706.8999999999996
2014-07-01,clay,10311.850000000008
2014-07-01,clayton,5416.439999999999
2014-07-01,clinton,23870.25999999999
2014-07-01,crawford,7637.09
2014-07-01,dallas,25530.94
2014-07-01,davis,817.75
2014-07-01,decatur,999.4100000000001
2014-07-01,delaware,6326.16
2014-07-01,des moines,18027.66999999998
2014-07-01,dickinson,37745.77999999999
2014-07-01,dubuque,52041.72
2014-07-01,emmet,3695.87
2014-07-01,fayette,8362.02
2014-07-01,floyd,6627.000000000001
2014-07-01,franklin,3270.8100000000004
2014-07-01,greene,2296.6
2014-07-01,grundy,2512.8500000000004
2014-07-01,guthrie,2482.33
2014-07-01,hamilton,5056.23
2014-07-01,hancock,2660.0699999999997
2014-07-01,hardin,10727.63
2014-07-01,harrison,2574.1000000000004
2014-07-01,henry,4809.810000000001
2014-07-01,howard,5697.599999999999
2014-07-01,humboldt,3905.519999999999
2014-07-01,ida,3176.99
2014-07-01,iowa,10663.469999999998
2014-07-01,jackson,7641.790000000001
2014-07-01,jasper,10909.289999999997
2014-07-01,jefferson,4672.689999999999
2014-07-01,johnson,82355.48000000001
2014-07-01,jones,8183.960000000003
2014-07-01,keokuk,1121.62
2014-07-01,kossuth,15219.179999999998
2014-07-01,lee,18606.979999999992
2014-07-01,linn,135775.09000000046
2014-07-01,louisa,1474.6099999999992
2014-07-01,lucas,2649.3399999999992
2014-07-01,lyon,4614.639999999998
2014-07-01,madison,3345.069999999999
2014-07-01,mahaska,6089.480000000002
2014-07-01,marion,14205.990000000023
