Date,County,Sales (Dollars)
2016-08-01,jones,80745.40000000014
2016-08-01,keokuk,6107.719999999999
2016-08-01,kossuth,99488.17
2016-08-01,lee,305758.6300000009
2016-08-01,linn,2052716.9599999553
2016-08-01,louisa,11185.739999999993
2016-08-01,lucas,38072.86999999998
2016-08-01,lyon,59487.770000000026
2016-08-01,madison,75065.68999999996
2016-08-01,mahaska,78454.3600000002
2016-08-01,marion,197538.80000000013
2016-08-01,marshall,216378.78000000017
2016-08-01,mills,26483.340000000007
2016-08-01,mitchell,42749.61999999993
2016-08-01,monona,54552.63999999994
2016-08-01,monroe,38895.699999999975
2016-08-01,montgomery,48590.16000000002
2016-08-01,muscatine,271328.48999999964
2016-08-01,o'brien,90980.4300000002
2016-08-01,obrien,14482.369999999994
2016-08-01,osceola,19567.76
2016-08-01,page,53760.35999999999
2016-08-01,palo alto,52623.339999999946
2016-08-01,plymouth,134801.46999999997
2016-08-01,pocahontas,25377.930000000008
2016-08-01,polk,4740571.769999868
2016-08-01,pottawatta,63771.50999999986
2016-08-01,pottawattamie,702791.180000005
2016-08-01,poweshiek,99895.13000000016
2016-08-01,ringgold,8727.37
2016-08-01,sac,54906.179999999986
2016-08-01,scott,1578594.56999999
2016-08-01,shelby,18008.059999999994
2016-08-01,sioux,121293.56000000016
2016-08-01,story,832767.1600000089
2016-08-01,tama,53984.81999999994
2016-08-01,taylor,8488.44
2016-08-01,union,68862.55000000005
2016-08-01,van buren,16295.709999999992
2016-08-01,wapello,161914.5799999999
2016-08-01,warren,173874.57000000015
2016-08-01,washington,122432.4900000002
2016-08-01,wayne,9429.139999999996
2016-08-01,webster,257445.95000000024
2016-08-01,winnebago,53795.00000000003
2016-08-01,winneshiek,98921.75
2016-08-01,woodbury,777851.3500000011
2016-08-01,worth,15369.589999999984
2016-08-01,wright,35483.49999999999
2016-09-01,adair,23545.960000000017
2016-09-01,adams,4043.9599999999987
2016-09-01,allamakee,59232.31999999998
2016-09-01,appanoose,43444.07999999996
2016-09-01,audubon,5380.730000000001
2016-09-01,benton,43323.579999999965
2016-09-01,black hawk,846357.9200000068
2016-09-01,boone,125830.42000000006
2016-09-01,bremer,94740.02999999997
2016-09-01,buchanan,73829.96000000005
2016-09-01,buena vist,93368.92000000038
2016-09-01,butler,20230.910000000018
2016-09-01,calhoun,16920.91999999999
2016-09-01,carroll,119748.9500000001
2016-09-01,cass,58666.13999999995
2016-09-01,cedar,22058.22000000002
2016-09-01,cerro gord,356921.20000000246
2016-09-01,cherokee,45592.20000000004
2016-09-01,chickasaw,13577.319999999987
2016-09-01,clarke,39537.590000000004
2016-09-01,clay,76792.04000000002
2016-09-01,clayton,40168.87999999996
2016-09-01,clinton,189796.80999999953
2016-09-01,crawford,63489.17999999993
2016-09-01,dallas,158074.4300000005
2016-09-01,davis,5758.470000000001
2016-09-01,decatur,13792.869999999997
2016-09-01,delaware,52846.47999999999
2016-09-01,des moines,201292.04000000007
2016-09-01,dickinson,157157.0400000002
2016-09-01,dubuque,421780.79000000295
2016-09-01,emmet,34347.190000000046
2016-09-01,fayette,74704.80999999994
2016-09-01,floyd,61715.089999999975
2016-09-01,franklin,27609.830000000075
2016-09-01,fremont,3733.96
2016-09-01,greene,32325.900000000045
2016-09-01,grundy,21105.580000000024
2016-09-01,guthrie,16528.27999999999
2016-09-01,hamilton,47317.63999999995
2016-09-01,hancock,24733.029999999988
2016-09-01,hardin,103504.78999999992
